state,headcount_2015,intensity_2015,mpi_2015,headcount_2019,intensity_2019,mpi_2019
Andhra Pradesh,11.77%,43.28%,0.051,6.06%,41.12%,0.025
Arunachal Pradesh,24.23%,47.25%,0.115,13.76%,43.04%,0.059
Assam,32.65%,47.88%,0.156,19.35%,44.41%,0.086
Bihar,51.89%,51.01%,0.265,33.76%,47.40%,0.16
Chhattisgarh,29.90%,44.64%,0.133,16.37%,42.61%,0.07
Goa,3.76%,40.13%,0.015,0.84%,38.69%,0.003
Gujarat,18.47%,44.97%,0.083,11.66%,43.25%,0.05
Haryana,11.88%,44.40%,0.053,7.07%,43.34%,0.031
Himachal Pradesh,7.59%,39.44%,0.03,4.93%,40.22%,0.02
Jharkhand,42.10%,47.92%,0.202,28.81%,45.59%,0.131
Karnataka,12.77%,42.76%,0.055,7.58%,41.21%,0.031
Kerala,0.70%,38.99%,0.003,0.55%,36.92%,0.002
Madhya Pradesh,36.57%,47.25%,0.173,20.63%,43.70%,0.09
Maharashtra,14.80%,43.76%,0.065,7.81%,41.77%,0.033
Manipur,16.96%,44.61%,0.076,8.10%,41.91%,0.034
Meghalaya,32.54%,48.08%,0.156,27.79%,48.01%,0.133
Mizoram,9.78%,47.42%,0.046,5.30%,45.62%,0.024
Nagaland,25.16%,46.29%,0.116,15.43%,42.61%,0.066
Orissa,29.34%,46.42%,0.136,15.68%,44.50%,0.07
Punjab,5.57%,43.74%,0.024,4.75%,41.22%,0.02
Rajasthan,28.86%,47.34%,0.137,15.31%,42.70%,0.065
Sikkim,3.82%,41.20%,0.016,2.60%,41.02%,0.011
Tamil Nadu,4.76%,39.97%,0.019,2.20%,38.70%,0.009
Telangana,13.18%,43.29%,0.057,5.88%,40.85%,0.024
Tripura,16.62%,45.03%,0.075,13.11%,42.68%,0.056
Uttar Pradesh,37.68%,47.60%,0.179,22.93%,44.83%,0.103
Uttaranchal,17.67%,44.35%,0.078,9.67%,41.99%,0.041
West Bengal,21.29%,45.50%,0.097,11.89%,42.35%,0.05
Andaman & Nicobar Islands,4.29%,40.50%,0.017,2.30%,40.62%,0.009
Chandigarh,5.97%,43.39%,0.026,3.52%,47.41%,0.017
Dadra & Nagar Haveli & Daman & Diu,19.58%,44.23%,0.087,9.21%,42.15%,0.039
Delhi,4.44%,43.92%,0.02,3.43%,41.99%,0.014
Jammu and Kashmir,12.56%,44.17%,0.055,4.80%,42.11%,0.02
Ladakh,12.70%,40.37%,0.051,3.53%,41.20%,0.015
Lakshadweep,1.82%,35.80%,0.007,1.11%,36.47%,0.004
Puducherry,1.71%,38.55%,0.007,0.85%,38.03%,0.003
